number,name,status
1,PEP Purpose and Guidelines,Active
20,The Zen of Python,Active
10,Voting Guidelines,Active
12,Sample reStructuredText PEP Template,Active
8,Style Guide for Python Code,Active
13,Python Language Governance,Active
11,CPython platform support,Active
42,Feature Requests,Withdrawn
9,Sample Plaintext PEP Template,Withdrawn
7,Style Guide for C Code,Active
6,Bug Fix Releases,Superseded
5,Guidelines for Language Evolution,Superseded
3,Guidelines for Handling Bug Reports,Withdrawn
2,Procedure for Adding New Modules,Active
202,List Comprehensions,Final
295,Interpretation of multiline string constants,Rejected
4,Deprecation of Standard Modules,Active
403,General purpose decorator clause (aka “@in” clause),Deferred
412,Key-Sharing Dictionary,Final
413,Faster evolution of the Python Standard Library,Withdrawn
420,Implicit Namespace Packages,Final
419,Protecting cleanup statements from interruptions,Deferred
418,"Add monotonic time, performance counter, and process time functions",Final
421,Adding sys.implementation,Final
417,Including mock in the Standard Library,Final
473,Adding structured data to built-in exceptions,Rejected
484,Type Hints,Final
486,Make the Python Launcher aware of virtual environments,Final
487,Simpler customisation of class creation,Final
496,Environment Markers,Rejected
485,A Function for testing approximate equality,Final
490,Chain exceptions at C level,Rejected
489,Multi-phase extension module initialization,Final
488,Elimination of PYO files,Final
502,String Interpolation - Extended Discussion,Rejected
506,Adding A Secrets Module To The Standard Library,Final
508,Dependency specification for Python Software Packages,Final
507,Migrate CPython to Git and GitLab,Rejected
505,None-aware operators,Deferred
504,Using the System RNG by default,Withdrawn
517,A build-system independent format for source trees,Final
501,General purpose string interpolation,Deferred
539,A New C-API for Thread-Local Storage in CPython,Final
536,Final Grammar for Literal String Interpolation,Withdrawn
535,Rich comparison chaining,Deferred
541,Package Index Name Retention,Final
542,Dot Notation Assignment In Function Header,Rejected
540,Add a new UTF-8 Mode,Final
544,Protocols: Structural subtyping (static duck typing),Accepted
543,A Unified TLS API for Python,Withdrawn
576,Rationalize Built-in function classes,Withdrawn
571,The manylinux2010 Platform Tag,Superseded
568,Generator-sensitivity for Context Variables,Deferred
577,Augmented Assignment Expressions,Withdrawn
572,Assignment Expressions,Final
574,Pickle protocol 5 with out-of-band data,Final
575,Unifying function/method classes,Withdrawn
573,Module State Access from C Extension Methods,Final
630,Isolating Extension Modules,Final
639,Improving License Clarity with Better Package Metadata,Draft
628,Add ,Final
629,Versioning PyPI’s Simple API,Final
638,Syntactic Macros,Draft
637,Support for indexing with keyword arguments,Rejected
636,Structural Pattern Matching: Tutorial,Final
635,Structural Pattern Matching: Motivation and Rationale,Final
683,"Immortal Objects, Using a Fixed Refcount",Accepted
672,Unicode-related Security Considerations for Python,Active
669,Low Impact Monitoring for CPython,Accepted
682,Format Specifier for Signed Zero,Final
680,tomllib: Support for Parsing TOML in the Standard Library,Final
670,Convert macros to functions in the Python C API,Final
671,Syntax for late-bound function argument defaults,Draft
681,Data Class Transforms,Accepted
737,Unify type name formatting,Draft
732,The Python Documentation Editorial Board,Draft
735,Dependency Groups in pyproject.toml,Draft
734,Multiple Interpreters in the Stdlib,Draft
733,An Evaluation of Python’s Public C API,Draft
724,Stricter Type Guards,Draft
723,Inline script metadata,Provisional
725,Specifying external dependencies in pyproject.toml,Draft
3155,Qualified name for classes and functions,Final
3154,Pickle protocol version 4,Final
3153,Asynchronous IO support,Superseded
3152,Cofunctions,Rejected
3151,Reworking the OS and IO exception hierarchy,Final
3150,Statement local namespaces (aka “given” clause),Deferred
3149,ABI version tagged .so files,Final
8103,2022 Term Steering Council election,Final
8105,2024 Term Steering Council election,Active
8100,January 2019 Steering Council election,Final
8104,2023 Term Steering Council election,Active
8102,2021 Term Steering Council election,Final
8101,2020 Term Steering Council election,Final
